id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
PS_85428,Audífono Bluetooth 1:1 PRO,Audífono Bluetooth 1:1 PRO,in stock,new,3500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/D3AE3AB8-C479-4532-B6F8-83E4365FACCB.jpeg,JeiperdStore,Audifonos Inalambricos
PS_11328,Gancho P/ Trípode,Gancho P/ Trípode,in stock,new,700.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/H6737f6474306457d85267f25616d454aF.jpg,JeiperdStore,Accesorios
PS_58147,Rotula de Trípode,Rotula de Trípode,in stock,new,1000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/H2d8815aafde5447782f97121288ae9b6Q.jpg,JeiperdStore,Accesorios
PS_13333,Masajeador Estimulador de Músculo,Masajeador Estimulador de Músculo,in stock,new,3200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/H0d613e84400c463b93ba04eceefd4a876.jpg,JeiperdStore,Deportes y Fitness
PS_92614,Capturadora de Video 4k 3.0 Mic,Capturadora de Video 4k 3.0 Mic,in stock,new,3200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/B32FF777-C260-4849-9460-548B9EFDEB74.jpeg,JeiperdStore,Accesorios
PS_49168,Cámara ip YI (4 piezas),Cámara ip YI (4 piezas),in stock,new,9500.00 DOP,8000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/09/51PinGfn0rL._AC_SL1000_.jpg,JeiperdStore,Cámaras
PS_17653,Reloj Inteligente X7,Reloj Inteligente X7,in stock,new,3000.00 DOP,2200.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/x7smart.png,JeiperdStore,Reloj inteligente
PS_55922,Luz 660 LED Neewer Regulable,Luz 660 LED Neewer Regulable,in stock,new,9500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/s-l1600-35.jpg,JeiperdStore,Accesorios
PS_27615,Trípode Mini de Mesa,Trípode Mini de Mesa,in stock,new,1700.00 DOP,1450.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/minitripod2.jpg,JeiperdStore,Accesorios
PS_28859,Cargador Inalámbrico 4 en 1 Carga Rápida Stand,Cargador Inalámbrico 4 en 1 Carga Rápida Stand,in stock,new,3500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/8A6EEF0C-FC28-4B10-9165-29F5EABB0A2B.jpeg,JeiperdStore,Cargadores y cables
